Team,Age,Height,Weight,College,Country,GP,PTS,REB,AST
69.4488771059,-0.0295856305,-0.0096850859,-0.0019416566,-0.0266426305,-0.0286705152,0.0034796789,-0.0103066748,-0.0203095317,-0.0111982656
-0.0295856305,18.8305944816,0.0562906989,0.135981174,-0.025139245,0.0231190012,0.1227767656,0.0607957718,0.0505660536,0.1251093439
-0.0096850859,0.0562906989,0.0831006836,0.8116693149,0.0053200008,-0.1556606541,0.0810113854,0.0065308081,0.4626670725,-0.3668035724
-0.0019416566,0.135981174,0.8116693149,683.615247781,-0.0422472084,-0.1241519177,0.0613489637,0.0313177574,0.4768189135,-0.292652861
-0.0266426305,-0.025139245,0.0053200008,-0.0422472084,981.345975536,-0.1437171632,-0.0249177523,-0.0074115755,-0.0087700234,0.0374043754
-0.0286705152,0.0231190012,-0.1556606541,-0.1241519177,-0.1437171632,101.699406641,-0.0183407276,0.0633046354,-0.0055805169,0.0542354375
0.0034796789,0.1227767656,0.0810113854,0.0613489637,-0.0249177523,-0.0183407276,585.965482052,0.5568579853,0.4964948687,0.3815800251
-0.0103066748,0.0607957718,0.0065308081,0.0313177574,-0.0074115755,0.0633046354,0.5568579853,31.0992018774,0.613769042,0.6586940593
-0.0203095317,0.0505660536,0.4626670725,0.4768189135,-0.0087700234,-0.0055805169,0.4964948687,0.613769042,5.5626822083,0.2753923979
-0.0111982656,0.1251093439,-0.3668035724,-0.292652861,0.0374043754,0.0542354375,0.3815800251,0.6586940593,0.2753923979,2.9232806973
